Company,Fuel_Type,CC,HP,Speed,Acceleration,Price,Torque,Seats,Price_Log,Torque_Log,CC_Scaled,HP_Scaled,Speed_Scaled,Acceleration_Scaled
FERRARI,plug in hyrbrid,3990.0,963.0,340.0,2.5,1100000.0,800.0,2.0,13.910821646859095,6.68586094706836,0.6245320309807302,2.9447211047785,2.330590990444776,-1.5358015429881577
ROLLS ROYCE,Petrol,6749.0,563.0,250.0,5.3,460000.0,900.0,5.0,13.038983942375959,6.803505257608338,2.074684835773539,1.147904169952935,0.6328166540087526,-0.6880321110318445
Ford,Petrol,1200.0,77.5,165.0,10.5,13500.0,120.0,5.0,9.510519035757246,4.795790545596741,-0.8419146255513235,-1.032982384691594,-0.9706368859586029,0.8863968340298801
MERCEDES,Petrol,3982.0,630.0,250.0,3.2,161000.0,900.0,4.0,11.989165855127435,6.803505257608338,0.6203271660157637,1.4488710065362171,0.6328166540087526,-1.3238591849990793
AUDI,Petrol,5204.0,602.0,320.0,3.6,253290.0,560.0,2.0,12.442294304367605,6.329720905522696,1.2626202894143908,1.3230938210984275,1.9533078045701042,-1.2027492661481776
BMW,Petrol,3994.0,710.0,341.0,2.9,499000.0,770.0,2.0,13.120363378739663,6.647688373563329,0.6266344634632134,1.80823439350133,2.34945514973851,-1.4146916241372558
ASTON MARTIN,Petrol,3982.0,656.0,314.0,3.6,193440.0,685.0,2.0,12.172727835396879,6.530877627725885,0.6203271660157637,1.565664107299879,1.8401228488077026,-1.2027492661481776
BENTLEY,Petrol,3996.0,550.0,318.0,4.0,311000.0,900.0,4.0,12.647551406590285,6.803505257608338,0.627685679704455,1.0895076195711042,1.9155794859826372,-1.0816393472972756
LAMBORGHINI,Petrol,6498.0,750.0,356.0,2.9,4500000.0,690.0,2.0,15.319588176962746,6.53813982376767,1.942757197497716,1.9879160869838866,2.6324175391445137,-1.4146916241372558
FERRARI,Petrol,3900.0,710.0,340.0,2.9,280000.0,770.0,2.0,12.54254845357358,6.647688373563329,0.5772273001248575,1.80823439350133,2.330590990444776,-1.4146916241372558
FERRARI,Petrol,6496.0,789.0,340.0,2.9,350000.0,718.0,2.0,12.765691290604371,6.577861357721047,1.9417059812564743,2.1631057381293792,2.330590990444776,-1.4146916241372558
FERRARI,Petrol,3900.0,592.0,320.0,3.2,210000.0,760.0,5.0,12.25486757159303,6.634633357861686,0.5772273001248575,1.2781733977277885,1.9533078045701042,-1.3238591849990793
FERRARI,Petrol,3900.0,612.0,320.0,3.4,230000.0,760.0,4.8,12.345838935721968,6.634633357861686,0.5772273001248575,1.3680142444690666,1.9533078045701042,-1.2633042255736284
FERRARI,Petrol,6496.0,789.0,340.0,2.9,1700000.0,719.0,2.0,14.346139397261565,6.579251212010101,1.9417059812564743,2.1631057381293792,2.330590990444776,-1.4146916241372558
FERRARI,Petrol,3900.0,710.0,340.0,2.9,280000.0,770.0,2.0,12.54254845357358,6.647688373563329,0.5772273001248575,1.80823439350133,2.330590990444776,-1.4146916241372558
FERRARI,Petrol,3900.0,612.0,320.0,3.2,220000.0,760.0,3.8,12.301387370778713,6.634633357861686,0.5772273001248575,1.3680142444690666,1.9533078045701042,-1.3238591849990793
FERRARI,Petrol,3900.0,612.0,320.0,3.4,240000.0,760.0,4.4,12.388398368982115,6.634633357861686,0.5772273001248575,1.3680142444690666,1.9533078045701042,-1.2633042255736284
TOYOTA,Petrol,2998.0,382.0,250.0,4.1,53900.0,500.0,2.0,10.894904309600681,6.2166061010848646,0.10312877532488886,0.334844506944367,0.6328166540087526,-1.0513618675845502
TOYOTA,Petrol,1998.0,205.0,226.0,6.4,27000.0,205.0,5.0,10.203629181337648,5.327876168789581,-0.4224793452959189,-0.4602469867159453,0.1800768309591464,-0.35497983419186413
TOYOTA,Petrol,2387.0,228.0,226.0,5.6,30000.0,250.0,4.0,10.308985993422082,5.5254529391317835,-0.21801778637442468,-0.3569300129634754,0.1800768309591464,-0.5971996718936682
TOYOTA,Diesel,5663.0,381.0,220.0,6.7,85000.0,500.0,7.0,11.350418300109132,6.2166061010848646,1.5038744167793416,0.3303524646073031,0.06689187519674483,-0.2641473950536878
TOYOTA,Petrol,5663.0,381.0,200.0,6.9,50000.0,651.0,7.0,10.819798284210286,6.480044561926653,1.5038744167793416,0.3303524646073031,-0.3103913106779271,-0.20359243562823678
